biolab_index,rdkit,standard_value,Binary,assay_type,not_sure
6516735383566082802,CCc1ncnc(-c2ccc(C(=O)N3CCC(N(CC)CC)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.417936637088291,0,binding,1
7101762214743438016,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CCCS(C)(=O)=O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.810509686300629,1,binding,0
3569815443854001290,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CC(C)(C)O)CC3)c(F)c2)c1C#Cc1ccc(NC)nc1,6.190440285364731,0,binding,1
6499788747730771190,CCc1ncnc(N2CCC(F)(F)CC2)c1C#Cc1ccc(N)nc1,6.70774392864352,0,binding,1
1743692653015163015,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CC(C)O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.621002859189151,0,binding,1
9178425735719223870,CCc1ncnc(-c2ccc(Cl)c(C(=O)NC)c2)c1C#Cc1ccc(N)nc1,7.17392519729917,1,binding,1
1139352579928144589,CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(C(F)(F)F)c2)c1C#Cc1ccc(N)nc1,6.759950227887349,0,binding,1
313985920588158162,Cc1ncnc(-c2ccc(C(=O)N3CCN(C4CCS(=O)(=O)C4)CC3)cc2)c1C#Cc1ccc(N)nc1,6.87289520163519,0,binding,1
-7459030540836707327,CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ncon4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.77642618894531,0,binding,1
-1332376116544216166,Cc1ncnc(-c2ccc(C3CC3)nc2)c1C#Cc1ccc(N)nc1,7.36653154442041,1,binding,1
4045901614915123633,Cc1ncnc(-c2ccc(C(=O)N3CCN4CCCCC4C3)cc2)c1C#Cc1ccc(N)nc1,7.09151498112135,1,binding,1
-5962479905216933038,CCc1ncnc(-c2ccc(C(=O)N3CCC4(CC3)CN(C)C4)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.19768474859566,0,binding,1
3435261447272678706,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCO)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.81815641205523,0,binding,1
8865575849593486006,CCc1ncnc(-c2ccc(C(=O)N3CCC(CCO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.903089986991941,0,binding,1
2590130220615912502,CCc1ncnc(-c2ccc(C(=O)NC3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.36051351073141,0,binding,1
-6241995838999483852,CCc1ncnc(-c2ccc(C(=O)NCCN3CCNCC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.42805836492554,0,binding,1
8550897200365657309,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCOCC4)CC3)c(Cl)c2)c1C#Cc1ccc(NC)nc1,6.791827473332879,0,binding,1
1285118396208104972,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOCCO)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.96875316376732,0,binding,1
4089171481987974022,CCc1ncnc(-c2ccc(C(=O)N3CCNC(=O)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.5686362358410095,1,binding,0
8280585195878552803,CCc1ncnc(-c2ccc(C(=O)N3CCN(S(=O)(=O)CC)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,7.44369749923271,1,binding,1
-1515887234611333720,CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCCC4C3)c(C)c2)c1C#Cc1ccc(N)nc1,6.53880171137751,0,binding,1
55744006873946802,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C4CCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.519993057042849,1,binding,0
3083214413816726386,CCc1ncnc(N2CCN(CCN3CCOCC3)CC2)c1C#Cc1ccc(N)nc1,6.732828271596991,0,binding,1
5208622387821243013,CCc1ncnc(-c2ccc(C(=O)N3CCC4(CC3)CNC4)c(F)c2)c1C#Cc1ccc(N)nc1,6.616005210558269,0,binding,1
-1434180493470384882,CCc1ncnc(-c2ccc(C(=O)N3CCCC(N(C)C)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.56098327161249,0,binding,1
-4411563740022441084,CCc1ncnc(N2CCN(C(=O)CC#N)CC2)c1C#Cc1ccc(N)nc1,7.221848749616361,1,binding,1
-4859095803202100877,CCc1ncnc(N2CCNC(=O)CC2)c1C#Cc1ccc(N)nc1,6.87614835903291,0,binding,1
-1157049987085754820,CCc1ncnc(-c2ccc(C(=O)N(C)C3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.01538268676325,1,binding,1
-4341973866374754328,CCc1ncnc(-c2ccc(C(=O)NCC3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.5185573714977005,0,binding,1
-7468082158208463547,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C(C)C)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.57971411505808,0,binding,1
-652420875089256674,CON(C)C(=O)c1ccc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)cc1Cl,7.34678748622466,1,binding,1
3814451627279359694,Cc1ncnc(N2CCN(CC(C)(C)O)CC2)c1C#Cc1ccc(N)nc1,7.275724130399211,1,binding,1
3317653078980655876,CCc1ncnc(N2CCN(c3cccnc3)CC2)c1C#Cc1ccc(N)nc1,7.318758762624411,1,binding,1
1698184492952802073,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)C)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.67571754470231,0,binding,1
-8237020088576528276,CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ccccc4)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.38163806889012,0,binding,1
3182042368185318272,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)F)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,7.20065945054642,1,binding,1
-5470904637442857842,Cc1ncnc(N2CCC(CNC(=O)CC3CCCC3)CC2)c1C#Cc1ccc(N)nc1,7.4089353929735005,1,binding,1
8408051008634562903,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCN(C)C)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1C,6.4317982759330095,0,binding,1
6952364540521995385,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCOCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.6675615400844,0,binding,1
5494810096448278797,CCc1ncnc(N2CCN(C)C(=O)C2)c1C#Cc1ccc(N)nc1,7.14266750356873,1,binding,1
-4960688132495392366,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C(C)CO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.79683107712454,0,binding,1
6914582611272039550,CCNc1ccc(C#Cc2c(CC)ncnc2-c2ccc(C(=O)N3CC4(CN(C(=O)OC(C)(C)C)C4)C3)c(F)c2)cn1,6.375821074251981,0,binding,1
-9025909244883372763,CCc1ncnc(N2CCC(O)CC2)c1C#Cc1ccc(C)nc1,6.85698519974591,0,binding,1
-1456307404868706637,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCN(C)CC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.86454930065449,0,binding,1
1866599798418847963,CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.66354026615147,0,binding,1
-8596847989511025113,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CC)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.74909230029914,0,binding,1
5383017993612688873,CCc1ncnc(N2CCN(CC(C)(C)O)CC2)c1C#Cc1ccc(N)nc1,6.84466396253494,0,binding,1
-7983844671837231844,CCc1ncnc(-c2ccc(C(=O)NC3CC(N4CCN(O)CC4)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.45469288353418,0,binding,1
8174119517158774063,CCc1ncnc(N2CCC3(CCNC3=O)CC2)c1C#Cc1ccc(N)nc1,7.02227639471115,1,binding,1
273800139687512133,Cc1ncnc(N2CCC(O)(C(F)(F)F)CC2)c1C#Cc1ccc(N)nc1,7.619788758288389,1,binding,0
6620735901091864190,CCc1ncnc(-c2cccc(C(=O)N(CC)CC)c2)c1C#Cc1ccc(N)nc1,6.72584215073632,0,binding,1
8986741836336259142,CCc1ncnc(-c2ccc(C(=O)N3CCC4(CCN(C)CC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.303119628317241,0,binding,1
-2598648447238301251,CCc1ncnc(N2CCc3c(ncnc3N3CCOCC3)C2)c1C#Cc1ccc(N)nc1,6.98716277529483,0,binding,1
-8597908640229197414,CCc1ncnc(N2CCN(C(C)=O)CC2)c1C#Cc1ccc(N)nc1,7.207608310501749,1,binding,1
95748617466331027,CCc1ncnc(-c2ccc(C(=O)N3CCNCC3)c(C)c2)c1C#Cc1ccc(N)nc1,7.4299242946784005,1,binding,1
